nBuses=50;
max_busses=40;
cap_B=[34 21 41 24 48 46 48 21 39 47 45 23 24 48 48 43 43 25 42 45 26 36 38 45 22 29 46 34 40 49 47 45 50 39 45 23 26 33 49 34 25 50 25 44 27 45 26 35 36 45];
euros_min_B=[3 1 3 2 3 1 3 3 3 1 3 2 3 1 1 2 1 3 2 1 2 1 1 3 2 1 1 1 2 2 3 1 1 2 3 3 3 2 1 3 1 2 2 1 1 3 2 2 1 3];
euros_km_B=[26 19 16 18 24 26 14 16 24 15 20 20 26 23 20 17 19 19 24 28 23 15 29 10 29 16 24 25 29 19 28 12 14 15 24 23 10 26 17 16 19 12 15 11 11 17 23 19 11 22];


nDrivers=50;
max_D=[240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240];
        

nServices=50;
S_starting_time=[469 251 652 356 29 60 471 619 332 697 50 343 317 712 161 443 597 599 626 246 482 464 586 38 191 425 428 246 198 258 345 58 518 688 317 655 161 29 667 328 545 601 553 219 374 115 574 19 190 18];
duration_s_min=[43 52 23 57 57 22 21 17 60 16 56 57 43 39 23 14 48 15 17 39 31 44 14 48 16 47 43 38 20 15 59 21 23 40 25 58 20 33 59 56 43 26 43 12 56 47 11 17 46 58];
duration_s_km=[19 14 20 14 18 20 10 15 12 18 15 13 12 14 19 18 13 10 14 17 20 14 13 12 17 13 17 13 12 20 12 13 13 16 18 16 20 14 20 18 19 17 10 19 14 10 19 14 19 15];
num_passangers=[11 40 14 24 14 29 35 18 26 23 34 14 19 35 25 15 35 24 16 13 29 39 40 22 36 10 39 35 19 15 17 11 23 19 11 11 19 22 23 11 18 30 39 28 34 26 19 15 10 16];
BM=30;
CBM=0.500000;
CEM=0.800000;    
